Network_ID,Network_Identifiers,class,genus,species,interaction_type,definition_of_interaction,edge_wt_type,geographical_location,population_type,data_record_technique,time_span,resolution,time_span_per_day,attributes_available,is_connected,num_components,nodes,edges,network.density,highest.degree,avg.degree,std.degree.node,CV.degree,skewness,avg.node.strength,std.node.strength,CV.node.strength,avg.edge.strength,std.edge.strength,CV.edge.strength,highest.node.strength,deg.assort,avg.betw.centrality,std.betw.centrality,highest.betw,avg.betw.centrality.weighted,std.betw.centrality.weighted,highest.betw.weighted,clustering,clustering.weighted,transitivity,Q,Qmax,Qrel,cohesion,num.modules,avg.modsize,diameter,Citation
Network_10.graphml,ant mersch col1 day11,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,113,3454,0.546,90,61.133,15.154,0.248,-0.455,476.372,283.972,0.596,7.792,9.66,1.24,1638,0.101,0.004,0.003,0.012127062,0.01,0.008,0.044336485,0.693,0.029,0.682,0.205,0.494,0.415,0.71047762,2,56.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_11.graphml,ant mersch col1 day12,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,99,3248,0.67,92,65.616,14.34,0.219,-1.099,435.01,215.246,0.495,6.63,8.458,1.276,1271,0.025,0.003,0.002,0.010953658,0.01,0.007,0.031952996,0.773,0.025,0.756,0.117,0.644,0.182,0.472907569,3,33,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_12.graphml,ant mersch col1 day13,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,99,3252,0.67,91,65.697,14.373,0.219,-1.2,434.424,203.381,0.468,6.613,8.527,1.289,1239,0.056,0.003,0.002,0.013349495,0.01,0.007,0.033297832,0.779,0.023,0.763,0.127,0.5,0.254,0.626998481,2,49.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_13.graphml,ant mersch col1 day14,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,99,3399,0.701,92,68.667,14.092,0.205,-0.862,490.687,237.968,0.485,7.146,8.338,1.167,1443,0.014,0.003,0.002,0.008315916,0.01,0.007,0.034604287,0.79,0.038,0.778,0.113,0.5,0.226,0.613412733,2,49.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_14.graphml,ant mersch col1 day15,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,99,3301,0.68,92,66.687,13.798,0.207,-1.046,518.869,274.841,0.53,7.781,11.284,1.45,1703,0.05,0.003,0.002,0.010719444,0.011,0.008,0.042483261,0.786,0.014,0.77,0.132,0.497,0.266,0.635260791,2,49.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_15.graphml,ant mersch col1 day16,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,99,3397,0.7,93,68.626,13.897,0.203,-1.034,532.141,305.414,0.574,7.754,11.545,1.489,2083,0.042,0.003,0.002,0.009895181,0.01,0.01,0.055566456,0.802,0.023,0.785,0.122,0.468,0.261,0.654109068,2,49.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_16.graphml,ant mersch col1 day17,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,99,3342,0.689,96,67.515,14.157,0.21,-0.646,537.293,346.068,0.644,7.958,11.995,1.507,2341,0.01,0.003,0.002,0.011355657,0.01,0.008,0.036842569,0.793,0.021,0.776,0.123,0.586,0.21,0.536506291,3,33,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_17.graphml,ant mersch col1 day18,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,99,3423,0.706,95,69.152,13.498,0.195,-1.112,551.859,326.528,0.592,7.98,10.789,1.352,2112,0.026,0.003,0.002,0.008246437,0.011,0.008,0.037116623,0.79,0.032,0.779,0.111,0.53,0.209,0.581357303,3,33,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_18.graphml,ant mersch col1 day19,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,99,3196,0.659,95,64.566,14.949,0.232,-0.724,525.414,330.167,0.628,8.138,10.794,1.326,1982,0.034,0.004,0.002,0.014160435,0.011,0.01,0.038613039,0.781,0.033,0.763,0.135,0.497,0.272,0.637668698,2,49.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_19.graphml,ant mersch col1 day20,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,99,3147,0.649,91,63.576,13.92,0.219,-0.639,514.283,310.793,0.604,8.089,10.12,1.251,1673,0.033,0.004,0.002,0.012667062,0.011,0.009,0.052657805,0.773,0.039,0.753,0.161,0.489,0.329,0.671430551,2,49.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_20.graphml,ant mersch col1 day21,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,99,3266,0.673,93,65.98,14.826,0.225,-0.545,535.434,301.908,0.564,8.115,9.686,1.194,1537,0.009,0.003,0.002,0.011096275,0.011,0.008,0.033471414,0.794,0.056,0.774,0.139,0.489,0.284,0.650334812,2,49.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_21.graphml,ant mersch col1 day22,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,80,2269,0.718,74,56.725,11.017,0.194,-0.796,419.475,238.752,0.569,7.395,9.541,1.29,1166,-0.022,0.004,0.002,0.009020105,0.013,0.009,0.044266952,0.794,0.046,0.784,0.103,0.499,0.206,0.604230939,2,40,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_22.graphml,ant mersch col1 day23,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,80,2246,0.711,73,56.15,11.142,0.198,-1.231,436.25,239.968,0.55,7.769,10.468,1.347,1156,0.016,0.004,0.002,0.009467953,0.013,0.01,0.046380958,0.793,0.04,0.782,0.105,0.5,0.21,0.60507569,2,40,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_23.graphml,ant mersch col1 day24,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,80,2372,0.751,75,59.3,10.961,0.185,-1.147,463.8,259.598,0.56,7.821,10.223,1.307,1523,0.007,0.003,0.002,0.007853581,0.013,0.01,0.048903094,0.824,0.032,0.815,0.096,0.499,0.192,0.597807757,2,40,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_24.graphml,ant mersch col1 day25,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,80,2117,0.67,73,52.925,11.06,0.209,-0.634,373.825,209.032,0.559,7.063,9.15,1.295,1059,0.005,0.004,0.002,0.011030256,0.013,0.01,0.049981071,0.762,0.047,0.749,0.122,0.499,0.244,0.623523855,2,40,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_25.graphml,ant mersch col1 day26,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,80,2137,0.676,73,53.425,11.544,0.216,-0.985,392.5,207.334,0.528,7.347,10.024,1.364,1206,0.019,0.004,0.002,0.013588618,0.013,0.011,0.045627452,0.776,0.035,0.761,0.12,0.5,0.24,0.619560131,2,40,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_26.graphml,ant mersch col1 day27,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,80,2010,0.636,75,50.25,12.115,0.241,-0.555,384.65,204.485,0.532,7.655,10.044,1.312,1089,0.072,0.005,0.004,0.02440742,0.015,0.013,0.0576669,0.777,0.032,0.756,0.147,0.466,0.315,0.680597015,2,40,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_27.graphml,ant mersch col1 day28,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,80,2143,0.678,72,53.575,12.374,0.231,-1.393,408.475,193.14,0.473,7.624,10.145,1.331,1026,0.062,0.004,0.003,0.014825033,0.014,0.011,0.047332331,0.789,0.044,0.776,0.117,0.494,0.237,0.623425105,2,40,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_28.graphml,ant mersch col1 day29,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,80,2221,0.703,74,55.525,12.385,0.223,-1.651,418.95,218.299,0.521,7.545,10.09,1.337,1362,0.055,0.004,0.003,0.017553632,0.013,0.013,0.068399354,0.81,0.036,0.797,0.116,0.494,0.235,0.622242233,2,40,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_29.graphml,ant mersch col1 day30,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,80,2220,0.703,76,55.5,12.552,0.226,-1.238,428.625,186.119,0.434,7.723,9.366,1.213,991,0.009,0.004,0.003,0.014006884,0.014,0.01,0.05803153,0.813,0.051,0.796,0.11,0.494,0.223,0.615315315,2,40,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_30.graphml,ant mersch col1 day31,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,80,1882,0.596,71,47.05,11.863,0.252,-0.764,318.5,162.792,0.511,6.769,8.016,1.184,867,0.096,0.005,0.004,0.02585381,0.014,0.011,0.050402799,0.732,0.037,0.718,0.153,0.5,0.306,0.653560043,2,40,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_31.graphml,ant mersch col1 day32,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,56,1090,0.708,50,38.929,8.76,0.225,-2.25,248.464,129.122,0.52,6.383,7.257,1.137,608,0.01,0.006,0.004,0.025236238,0.019,0.015,0.060331356,0.795,0.057,0.786,0.09,0.497,0.181,0.593571447,2,28,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_32.graphml,ant mersch col1 day33,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,56,1082,0.703,49,38.643,9.025,0.234,-1.931,262.679,117.573,0.448,6.798,8.013,1.179,572,-0.009,0.006,0.006,0.046451081,0.019,0.015,0.084624793,0.782,0.056,0.788,0.09,0.499,0.18,0.591495041,2,28,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_33.graphml,ant mersch col1 day34,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,56,1118,0.726,52,39.929,9.691,0.243,-2.133,304.214,129.901,0.427,7.619,8.919,1.171,610,-0.009,0.005,0.007,0.04908584,0.021,0.022,0.115254748,0.816,0.041,0.82,0.082,0.499,0.164,0.582283553,2,28,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_34.graphml,ant mersch col1 day35,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,56,1210,0.786,52,43.214,9.302,0.215,-2.54,356.286,167.766,0.471,8.245,8.845,1.073,834,0.001,0.004,0.004,0.022716496,0.021,0.022,0.091436126,0.871,0.071,0.863,0.063,0.499,0.126,0.56364009,2,28,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_35.graphml,ant mersch col1 day36,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,56,1083,0.703,51,38.679,10.089,0.261,-1.807,284.679,122.699,0.431,7.36,8.379,1.138,629,0.08,0.006,0.007,0.045788003,0.021,0.02,0.107921882,0.831,0.054,0.819,0.087,0.622,0.14,0.464445454,3,18.66666667,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_36.graphml,ant mersch col1 day37,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,55,1158,0.78,53,42.109,8.327,0.198,-2.035,395.491,179.993,0.455,9.392,10.107,1.076,750,0.004,0.004,0.003,0.015537161,0.022,0.027,0.1320894,0.859,0.055,0.849,0.075,0.497,0.151,0.577721455,2,27.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
