graphfile,Species,Class,Population type,Geographical Location,Data collection technique,Interaction type,Definition of interaction,Edge weight type,Total duration of data collection,Time resolution of data collection,Number of nodes,Number of edges,Network density,Average degree,Highest degree,CV degree,Skewness,Node strength (average),Node strength (standard deviation),Edge strength (average),Edge strength (standard deviation),Degree assortativity,Betweenness centrality (average),Betweenness centrality (standard deviation),Weighted betweeness centrality (average),Weighted betweenness centrality (standard deviation),Clustering coefficient (average),Weighted clustering coefficient (average),Transitivity,Newman modularity (Q),Maximum modularity (Qmax),Relative modularity (Qrel),Network cohesion,Number of modules,Average module size,Note,Citation
guppy_hasenjager_familiar_4.graphml,Poecilia reticulata,Actinopterygii,captive,"Louisville, Kentucky",video,spatial proximity,A contact phase between two individuals was one or more consecutive observations in which they were recorded as being within four body length to one another.,frequency,90min,10 seconds,6,15,1.0,5.0,5,0.0,NA,74.0,10.017,14.8,4.445,nan,0.0,0.0,0.033,0.075,1.0,0.624,1.0,0.0,0.0,NA,1.0,1,6.0,Networks represent 10 independed replicates of grourp of 5 guppies that were familiar with each other,"Hasenjager, Matthew J., and Lee Alan Dugatkin. ""Familiarity <br> affects network structure and information flow in <br> guppy (Poecilia reticulata) shoals."" Behavioral Ecology (2016): <br> arw152."
guppy_hasenjager_familiar_5.graphml,Poecilia reticulata,Actinopterygii,captive,"Louisville, Kentucky",video,spatial proximity,A contact phase between two individuals was one or more consecutive observations in which they were recorded as being within four body length to one another.,frequency,90min,10 seconds,6,15,1.0,5.0,5,0.0,NA,82.667,9.232,16.533,4.365,nan,0.0,0.0,0.017,0.037,1.0,0.644,1.0,0.0,0.0,NA,1.0,1,6.0,Networks represent 10 independed replicates of grourp of 5 guppies that were familiar with each other,"Hasenjager, Matthew J., and Lee Alan Dugatkin. ""Familiarity <br> affects network structure and information flow in <br> guppy (Poecilia reticulata) shoals."" Behavioral Ecology (2016): <br> arw152."
guppy_hasenjager_familiar_6.graphml,Poecilia reticulata,Actinopterygii,captive,"Louisville, Kentucky",video,spatial proximity,A contact phase between two individuals was one or more consecutive observations in which they were recorded as being within four body length to one another.,frequency,90min,10 seconds,6,15,1.0,5.0,5,0.0,NA,99.0,6.807,19.8,3.468,nan,0.0,0.0,0.0,0.0,1.0,0.783,1.0,0.0,0.0,NA,1.0,1,6.0,Networks represent 10 independed replicates of grourp of 5 guppies that were familiar with each other,"Hasenjager, Matthew J., and Lee Alan Dugatkin. ""Familiarity <br> affects network structure and information flow in <br> guppy (Poecilia reticulata) shoals."" Behavioral Ecology (2016): <br> arw152."
guppy_hasenjager_familiar_7.graphml,Poecilia reticulata,Actinopterygii,captive,"Louisville, Kentucky",video,spatial proximity,A contact phase between two individuals was one or more consecutive observations in which they were recorded as being within four body length to one another.,frequency,90min,10 seconds,6,15,1.0,5.0,5,0.0,NA,79.0,8.083,15.8,3.37,nan,0.0,0.0,0.0,0.0,1.0,0.777,1.0,0.0,0.0,NA,1.0,1,6.0,Networks represent 10 independed replicates of grourp of 5 guppies that were familiar with each other,"Hasenjager, Matthew J., and Lee Alan Dugatkin. ""Familiarity <br> affects network structure and information flow in <br> guppy (Poecilia reticulata) shoals."" Behavioral Ecology (2016): <br> arw152."
guppy_hasenjager_familiar_8.graphml,Poecilia reticulata,Actinopterygii,captive,"Louisville, Kentucky",video,spatial proximity,A contact phase between two individuals was one or more consecutive observations in which they were recorded as being within four body length to one another.,frequency,90min,10 seconds,6,15,1.0,5.0,5,0.0,NA,79.0,25.703,15.8,8.447,nan,0.0,0.0,0.167,0.373,1.0,0.485,1.0,0.0,0.0,NA,1.0,1,6.0,Networks represent 10 independed replicates of grourp of 5 guppies that were familiar with each other,"Hasenjager, Matthew J., and Lee Alan Dugatkin. ""Familiarity <br> affects network structure and information flow in <br> guppy (Poecilia reticulata) shoals."" Behavioral Ecology (2016): <br> arw152."
guppy_hasenjager_familiar_9.graphml,Poecilia reticulata,Actinopterygii,captive,"Louisville, Kentucky",video,spatial proximity,A contact phase between two individuals was one or more consecutive observations in which they were recorded as being within four body length to one another.,frequency,90min,10 seconds,6,15,1.0,5.0,5,0.0,NA,74.0,1.155,14.8,2.903,nan,0.0,0.0,0.0,0.0,1.0,0.694,1.0,0.0,0.0,NA,1.0,1,6.0,Networks represent 10 independed replicates of grourp of 5 guppies that were familiar with each other,"Hasenjager, Matthew J., and Lee Alan Dugatkin. ""Familiarity <br> affects network structure and information flow in <br> guppy (Poecilia reticulata) shoals."" Behavioral Ecology (2016): <br> arw152."
Weighted_Barn_swallow_contact_network_Levin.graphml,Hirundo rustica,Aves,free-ranging,"Boulder County, Colorado, USA",logger,physical contact,Interaction 0.1 m and closer,frequency,11 days,1 sec,17,53,0.39,6.235,11,0.465,0.032,10.353,6.296,1.66,1.331,-0.31,0.049,0.051,0.06,0.066,0.548,0.103,0.473,0.176,0.685,0.257,0.4905891787348459,4,4.25,Two networks were constructed with edges weighted by the number of interactions at two spatial proximities: body contact interactions and all other spatially proximate interactions,"Levin, Iris I., et al. ""Stress response, gut <br> microbial diversity and sexual signals correlate with <br> social interactions."" Biology Letters 12.6 (2016): 20160352. <br>"
Weighted_Barn_swallow_non_physical_social_interaction_Levin.graphml,Hirundo rustica,Aves,free-ranging,"Boulder County, Colorado, USA",logger,non physical social interaction,Proximities between 0.1 and 5 m,frequency,11 days,1 sec,17,122,0.897,14.353,16,0.133,-1.838,104.235,41.461,7.262,7.031,-0.153,0.007,0.005,0.068,0.103,0.929,0.108,0.922,0.022,0.498,0.044,0.5245880139835493,2,8.5,Two networks were constructed with edges weighted by the number of interactions at two spatial proximities: body contact interactions and all other spatially proximate interactions,"Levin, Iris I., et al. ""Stress response, gut <br> microbial diversity and sexual signals correlate with <br> social interactions."" Biology Letters 12.6 (2016): 20160352. <br>"
geese_kurvers_female_foraging.graphml,Branta leucopsis,Aves,captive,"Heteren, Netherlands",survey scan,foraging,Animals grazing on the same patch during a sampling period were assumed to be associating (gambit of the group),frequency,15 days,4min,20,190,0.821,15.6,18,0.154,-1.407,176.5,73.488,11.314,14.578,-0.083,0.01,0.005,0.065,0.094,0.854,0.076,0.849,0.045,0.5,0.09,0.5448717948717949,2,10.0,Networks represent male and female only network,"Kurvers, Ralf HJM, et al. ""Contrasting context dependence <br> of familiarity and kinship in animal social <br> networks."" Animal Behaviour 86.5 (2013): 993-1001."
geese_kurvers_male_foraging.graphml,Branta leucopsis,Aves,captive,"Heteren, Netherlands",survey scan,foraging,Animals grazing on the same patch during a sampling period were assumed to be associating (gambit of the group),frequency,15 days,4min,23,253,0.802,17.652,22,0.198,-1.538,210.522,107.113,11.926,21.555,-0.175,0.009,0.007,0.052,0.054,0.864,0.038,0.849,0.035,0.449,0.078,0.58621267204603,2,11.5,Networks represent male and female only network,"Kurvers, Ralf HJM, et al. ""Contrasting context dependence <br> of familiarity and kinship in animal social <br> networks."" Animal Behaviour 86.5 (2013): 993-1001."
hens_guhl_pecking_order.graphml,White leghorn N/A,Aves,captive,"Manhattan, Kansas",mn/unspecified,dominance,Dominance interaction recoded based on agonistic behavior until each bird has established its dominance and/or subordination.,frequency,nan,nan,32,496,1.0,31.0,31,0.0,NA,31.0,0.0,1.0,0.0,nan,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,NA,1.0,1,32.0,nan,"Guhl, A. M. ""Social behavior of the domestic <br> fowl."" Transactions of the Kansas Academy of <br> Science (1903-) 71.3 (1968): 379-384."
weighted_adelman_social_songbird.graphml,Haemorhous mexicanus,Aves,free-ranging,"Virginia Tech, Virginia, USA",RFID,social projection bipartite,"A machine learning algorithm was applied to identify clusters of detections on feeders. Next, the network was generated based on patterns of co-occurrence by individuals in the same feeding events. Asociations between birds were defined using the simple ratio index.",simple_ratio_index,137 days,1 sec,117,1027,0.151,17.556,56,0.746,0.529,0.333,0.323,0.019,0.033,0.0,0.009,0.016,0.018,0.032,0.604,0.025,0.558,0.394,0.659,0.598,0.734158628895471,3,36.0,nan,"Adelman, James S., et al. ""Feeder use predicts <br> both acquisition and transmission of a contagious <br> pathogen in a North American songbird."" Proc. <br> R. Soc. B. Vol. 282. No. 1815. <br> The Royal Society, 2015."
weighted_arnberg_sparrow_social_2009.graphml,Zonotrichia atricapilla,Aves,free-ranging,"California, USA",survey scan,group membership,A flock was defined as a group of birds within an approximately 5-metre radius. Social networks of flock comembership was constructed where nodes represent individual birds and edges represent the simple ratio association index,simple_ratio_index,3 months,nan,31,211,0.454,13.613,23,0.373,-0.543,1.868,0.43,0.137,0.106,0.289,0.031,0.064,0.042,0.072,0.769,0.147,0.706,0.234,0.533,0.439,0.7014168145724083,3,10.333333333333334,Two networks collected over two consecutive years,"Arnberg, Nina N., et al. ""Social network structure <br> in wintering golden‚Äêcrowned sparrows is not correlated <br> with kinship."" Molecular ecology 24.19 (2015): 5034-5044. <br>"
weighted_arnberg_sparrow_social_2010.graphml,Zonotrichia atricapilla,Aves,free-ranging,"California, USA",survey scan,group membership,A flock was defined as a group of birds within an approximately 5-metre radius. Social networks of flock comembership was constructed where nodes represent individual birds and edges represent the simple ratio association index,simple_ratio_index,4 months,nan,40,305,0.391,15.25,29,0.438,0.221,1.19,0.591,0.078,0.076,-0.116,0.017,0.021,0.03,0.056,0.708,0.15,0.598,0.235,0.655,0.359,0.580327868852459,3,13.333333333333334,Two networks collected over two consecutive years,"Arnberg, Nina N., et al. ""Social network structure <br> in wintering golden‚Äêcrowned sparrows is not correlated <br> with kinship."" Molecular ecology 24.19 (2015): 5034-5044. <br>"
weighted_shizuka_Flock_Season2_Dryad.graphml,Zonotrichia atricapilla,Aves,free-ranging,"California, USA",survey scan,group membership,"Flocks were defined as a group of individuals found within a single 5 m radius. For each season, Simple Ratio association index was calculated for each pair of individuals, which ranged from 0 for pairs never seen in the same flock and 1 for pairs always seen in the same flock. ",frequency,4 months,nan,46,348,0.336,15.13,31,0.5,0.163,44.13,31.059,2.917,3.038,-0.1,0.017,0.022,0.024,0.028,0.688,0.082,0.582,0.26,0.66,0.394,0.6005919710336504,3,15.333333333333334,Networks represent social data collected during two non-breeding seasons: October 2010–February 2011 (Season 2) and October2011–April 2012 (Season 3).,"Shizuka, Daizaburo, et al. ""Across‚Äêyear social stability shapes <br> network structure in wintering migrant sparrows."" Ecology <br> letters 17.8 (2014): 998-1007."
weighted_shizuka_Flock_Season3_Dryad.graphml,Zonotrichia atricapilla,Aves,free-ranging,"California, USA",survey scan,group membership,"Flocks were defined as a group of individuals found within a single 5 m radius. For each season, Simple Ratio association index was calculated for each pair of individuals, which ranged from 0 for pairs never seen in the same flock and 1 for pairs always seen in the same flock. ",frequency,6 months,nan,27,163,0.464,12.074,18,0.352,-0.272,60.593,42.234,5.018,5.404,0.065,0.024,0.022,0.043,0.037,0.745,0.119,0.691,0.249,0.495,0.503,0.7546058564776471,2,13.5,Networks represent social data collected during two non-breeding seasons: October 2010–February 2011 (Season 2) and October2011–April 2012 (Season 3).,"Shizuka, Daizaburo, et al. ""Across‚Äêyear social stability shapes <br> network structure in wintering migrant sparrows."" Ecology <br> letters 17.8 (2014): 998-1007."
Thornbill_Farine.graphml,Acanthiza N/A,Aves,free-ranging,"Canberra, Australia",survey scan,group membership,Flock membership was identified based on frequent interactions between (such as ‘beating’ for insects) flocks and large gaps between flocks. Association strength of each dyad was calculated using the simple ratio index.,frequency,2 months,nan,62,1151,0.609,37.129,55,0.331,-0.558,92.484,59.345,2.491,2.116,-0.052,0.007,0.006,0.012,0.009,0.781,0.079,0.758,0.089,0.731,0.122,0.3570811095404948,4,15.5,nan,"Farine, Damien R., and Peter J. Milburn. ""Social <br> organisation of thornbill-dominated mixed-species flocks using social <br> network analysis."" Behavioral Ecology and Sociobiology 67.2 <br> (2013): 321-330."
weaver_dijk_social_00.graphml,Philetairus socius,Aves,free-ranging,"Kimberley, South Africa",mark recapture,social projection bipartite,"A network edge was drawn between individuals that used the same nest chambers either for roosting or nest-building at any given time within a series of observations at the same colony in the same year, either together in the nest chamber at the same time or at different times.",unweighted,10 months,nan,18,28,0.183,3.111,5,0.385,0.208,3.111,1.197,1.0,0.0,0.403,0.085,0.124,0.085,0.124,0.598,0.598,0.667,0.505,0.585,0.863,0.8214579092110431,3,5.0,Networks represent social data collected from 23 colonies of sociable weavers,"Dijk, Ren√© E., et al. ""Cooperative investment in <br> public goods is kin directed in communal <br> nests of social birds."" Ecology letters 17.9 <br> (2014): 1141-1148."
weaver_dijk_social_01.graphml,Philetairus socius,Aves,free-ranging,"Kimberley, South Africa",mark recapture,social projection bipartite,"A network edge was drawn between individuals that used the same nest chambers either for roosting or nest-building at any given time within a series of observations at the same colony in the same year, either together in the nest chamber at the same time or at different times.",unweighted,10 months,nan,7,12,0.571,3.429,6,0.306,3.33,3.429,1.05,1.0,0.0,-0.333,0.086,0.21,0.086,0.21,0.914,0.914,0.727,0.219,0.469,0.467,0.7499062617172855,2,3.5,Networks represent social data collected from 23 colonies of sociable weavers,"Dijk, Ren√© E., et al. ""Cooperative investment in <br> public goods is kin directed in communal <br> nests of social birds."" Ecology letters 17.9 <br> (2014): 1141-1148."
weaver_dijk_social_02.graphml,Philetairus socius,Aves,free-ranging,"Kimberley, South Africa",mark recapture,social projection bipartite,"A network edge was drawn between individuals that used the same nest chambers either for roosting or nest-building at any given time within a series of observations at the same colony in the same year, either together in the nest chamber at the same time or at different times.",unweighted,10 months,nan,5,10,1.0,4.0,4,0.0,NA,4.0,0.0,1.0,0.0,nan,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,NA,1.0,1,5.0,Networks represent social data collected from 23 colonies of sociable weavers,"Dijk, Ren√© E., et al. ""Cooperative investment in <br> public goods is kin directed in communal <br> nests of social birds."" Ecology letters 17.9 <br> (2014): 1141-1148."
weaver_dijk_social_03.graphml,Philetairus socius,Aves,free-ranging,"Kimberley, South Africa",mark recapture,social projection bipartite,"A network edge was drawn between individuals that used the same nest chambers either for roosting or nest-building at any given time within a series of observations at the same colony in the same year, either together in the nest chamber at the same time or at different times.",unweighted,10 months,nan,42,152,0.177,7.238,27,0.672,1.919,7.238,4.864,1.0,0.0,-0.005,0.036,0.079,0.036,0.079,0.828,0.828,0.596,0.452,0.741,0.61,0.7105356649429598,5,8.4,Networks represent social data collected from 23 colonies of sociable weavers,"Dijk, Ren√© E., et al. ""Cooperative investment in <br> public goods is kin directed in communal <br> nests of social birds."" Ecology letters 17.9 <br> (2014): 1141-1148."
weaver_dijk_social_04.graphml,Philetairus socius,Aves,free-ranging,"Kimberley, South Africa",mark recapture,social projection bipartite,"A network edge was drawn between individuals that used the same nest chambers either for roosting or nest-building at any given time within a series of observations at the same colony in the same year, either together in the nest chamber at the same time or at different times.",unweighted,10 months,nan,18,27,0.176,3.0,5,0.416,0.205,3.0,1.247,1.0,0.0,0.47,0.02,0.043,0.02,0.043,0.731,0.731,0.75,0.398,0.45,0.884,0.6666666666666666,2,5.0,Networks represent social data collected from 23 colonies of sociable weavers,"Dijk, Ren√© E., et al. ""Cooperative investment in <br> public goods is kin directed in communal <br> nests of social birds."" Ecology letters 17.9 <br> (2014): 1141-1148."
weaver_dijk_social_05.graphml,Philetairus socius,Aves,free-ranging,"Kimberley, South Africa",mark recapture,social projection bipartite,"A network edge was drawn between individuals that used the same nest chambers either for roosting or nest-building at any given time within a series of observations at the same colony in the same year, either together in the nest chamber at the same time or at different times.",unweighted,10 months,nan,13,19,0.244,2.923,5,0.528,-0.157,2.923,1.542,1.0,0.0,0.09,0.148,0.22,0.148,0.22,0.426,0.426,0.635,0.425,0.478,0.889,0.9473933524566436,2,6.5,Networks represent social data collected from 23 colonies of sociable weavers,"Dijk, Ren√© E., et al. ""Cooperative investment in <br> public goods is kin directed in communal <br> nests of social birds."" Ecology letters 17.9 <br> (2014): 1141-1148."
weaver_dijk_social_06.graphml,Philetairus socius,Aves,free-ranging,"Kimberley, South Africa",mark recapture,social projection bipartite,"A network edge was drawn between individuals that used the same nest chambers either for roosting or nest-building at any given time within a series of observations at the same colony in the same year, either together in the nest chamber at the same time or at different times.",unweighted,10 months,nan,19,64,0.374,6.737,11,0.284,0.233,6.737,1.915,1.0,0.0,0.153,0.066,0.124,0.066,0.124,0.829,0.829,0.754,0.378,0.456,0.829,0.9218533940610767,2,9.5,Networks represent social data collected from 23 colonies of sociable weavers,"Dijk, Ren√© E., et al. ""Cooperative investment in <br> public goods is kin directed in communal <br> nests of social birds."" Ecology letters 17.9 <br> (2014): 1141-1148."
weaver_dijk_social_07.graphml,Philetairus socius,Aves,free-ranging,"Kimberley, South Africa",mark recapture,social projection bipartite,"A network edge was drawn between individuals that used the same nest chambers either for roosting or nest-building at any given time within a series of observations at the same colony in the same year, either together in the nest chamber at the same time or at different times.",unweighted,10 months,nan,9,10,0.278,2.222,4,0.552,0.424,2.222,1.227,1.0,0.0,0.535,0.008,0.015,0.008,0.015,0.481,0.481,0.789,0.0,0.0,NA,0.8000800080008,1,5.0,Networks represent social data collected from 23 colonies of sociable weavers,"Dijk, Ren√© E., et al. ""Cooperative investment in <br> public goods is kin directed in communal <br> nests of social birds."" Ecology letters 17.9 <br> (2014): 1141-1148."
weaver_dijk_social_08.graphml,Philetairus socius,Aves,free-ranging,"Kimberley, South Africa",mark recapture,social projection bipartite,"A network edge was drawn between individuals that used the same nest chambers either for roosting or nest-building at any given time within a series of observations at the same colony in the same year, either together in the nest chamber at the same time or at different times.",unweighted,10 months,nan,34,147,0.262,8.647,22,0.521,0.757,8.647,4.504,1.0,0.0,-0.116,0.029,0.047,0.029,0.047,0.672,0.672,0.533,0.318,0.719,0.442,0.5986435281872666,4,8.5,Networks represent social data collected from 23 colonies of sociable weavers,"Dijk, Ren√© E., et al. ""Cooperative investment in <br> public goods is kin directed in communal <br> nests of social birds."" Ecology letters 17.9 <br> (2014): 1141-1148."
weaver_dijk_social_09.graphml,Philetairus socius,Aves,free-ranging,"Kimberley, South Africa",mark recapture,social projection bipartite,"A network edge was drawn between individuals that used the same nest chambers either for roosting or nest-building at any given time within a series of observations at the same colony in the same year, either together in the nest chamber at the same time or at different times.",unweighted,10 months,nan,12,36,0.545,6.0,9,0.353,-1.098,6.0,2.121,1.0,0.0,-0.035,0.052,0.058,0.052,0.058,0.649,0.649,0.696,0.153,0.486,0.315,0.6666666666666666,2,6.0,Networks represent social data collected from 23 colonies of sociable weavers,"Dijk, Ren√© E., et al. ""Cooperative investment in <br> public goods is kin directed in communal <br> nests of social birds."" Ecology letters 17.9 <br> (2014): 1141-1148."
weaver_dijk_social_10.graphml,Philetairus socius,Aves,free-ranging,"Kimberley, South Africa",mark recapture,social projection bipartite,"A network edge was drawn between individuals that used the same nest chambers either for roosting or nest-building at any given time within a series of observations at the same colony in the same year, either together in the nest chamber at the same time or at different times.",unweighted,10 months,nan,16,21,0.175,2.625,7,0.685,1.01,2.625,1.798,1.0,0.0,0.088,0.088,0.142,0.088,0.142,0.319,0.319,0.55,0.389,0.539,0.722,0.8095238095238095,3,4.666666666666667,Networks represent social data collected from 23 colonies of sociable weavers,"Dijk, Ren√© E., et al. ""Cooperative investment in <br> public goods is kin directed in communal <br> nests of social birds."" Ecology letters 17.9 <br> (2014): 1141-1148."
weaver_dijk_social_11.graphml,Philetairus socius,Aves,free-ranging,"Kimberley, South Africa",mark recapture,social projection bipartite,"A network edge was drawn between individuals that used the same nest chambers either for roosting or nest-building at any given time within a series of observations at the same colony in the same year, either together in the nest chamber at the same time or at different times.",unweighted,10 months,nan,42,113,0.131,5.381,22,0.754,2.09,5.381,4.059,1.0,0.0,-0.016,0.041,0.085,0.041,0.085,0.62,0.62,0.478,0.446,0.696,0.641,0.7433562534844824,4,10.0,Networks represent social data collected from 23 colonies of sociable weavers,"Dijk, Ren√© E., et al. ""Cooperative investment in <br> public goods is kin directed in communal <br> nests of social birds."" Ecology letters 17.9 <br> (2014): 1141-1148."
